Tender_Proposal_ID,Source_File,App_ID,Invitation_Reference,Event_Type,Invitation_For,Ministry_Division,Organization_Agency,Procuring_Entity_Name,Procuring_Entity_Code,Procurement_Entity_District,PE_Address,PE_City,PE_Thana,PE_District,PE_Country,PE_Phone,PE_Fax,Authorised_Officer,Authorised_Officer_Designation,Procurement_Method,Procurement_Nature,Procurement_Type,Tender_Status,Evaluation_Type,Eligibility_of_Tenderer,Category,Budget_Type,Source_of_Fund,Development_Partner,Project_Code,Project_Name,Package_No,Tender_Title,Brief_Description_of_Works,Brief_Description_of_Contract,Lot_No,Lot_Identification,Lot_Location,Lot_Security_BDT,Contract_Value_BDT,Estimated_Cost,Document_Price_BDT,Document_Fees,Document_Available,Mode_of_Payment,Advertised_Date,Document_Last_Selling_Date,Pre_Tender_Meeting_Start,Pre_Tender_Meeting_End,Closing_Date,Tender_Opening_Date,Last_Security_Submission_Date,Security_Valid_Up_To,Tender_Valid_Up_To,Notification_of_Award_Date,Contract_Signing_Date,Proposed_Start_Date,Proposed_Completion_Date,Tentative_Start_Date,Tentative_Completion_Date,Contract_No,Performance_Security_Provided_On_Time,Contract_Signed_On_Time,Tenderer_ID,Supplier_Name,Beneficial_Owner,Ownership_Percentage,Owner_Country,Business_Address,Delivery_Location,Specific_Experience_Required,Max_Quantity_Variation,Liquidated_Damages_Rate,Tenders_Sold,Tenders_Received,Responsive_Tenders,Risk_Score,Risk_Level,Red_Flag,Red_Flag_Reason,Competition_Risk,Financial_Risk,Timeline_Risk,Ownership_Risk,Source_Files_Merged,Red_Flag_Count,Evidence,Rule_Reference,Full_Rule_Text,Rule_ID,Category,Finding,Severity,Review_Status,Investigative_Recommendation,Extracted_General_Experience,Extracted_Specific_Experience,Extracted_Turnover,Extracted_Liquid_Assets
974362,Tender_974362.pdf,195732,RAJUK/UAP/PD/IFT/Crack Repair-08 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Uttara Apartment Project,Uttara Apartment Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building, 1st Contact details of Official Inviting Tender/Proposal : Phone No : 02-9572010",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9572010,City : Dhaka,Mohammad Muzaffar Uddin,PD (Uttara Appartment),Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As per ITT and TDS.,,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Crack Repair & Maintenance work for 16 storied Apartment Building of Uttara Apartment Project.,Crack Repair & Maintenance work for 16 storied Apartment Building of Uttara Apartment Project.,,,,,,26265169.5,,11,Package wise,Package wise,Payment through Bank,2024-04-23 16:00,,,,,,,11-Oct-2024,13-Sep-2024,2024-07-14 00:00,2024-08-11 00:00,2024-08-01 00:00,2024-10-30 00:00,,,RAJUK/UAP/PD/IFT/Crack Repair-08,,yes,,Donatien International,,,,"33 South Khilgaon, Dhaka 1219.",Uttara Apartment Project Sector-18 Block-A Uttara Dhaka,,,,5,3,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,RAJUK_Tender_974362.pdf | Tender_974362.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,,,,,,,,,,
957253,RAJUK_Tender_957253.pdf,188860,RAJUK/PD_Purbachal/92,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Purbachal New Town Project,Purbachal New Town Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building , Contact details of Official Inviting Tender/Proposal : Phone No : 02-9554969",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9554969,City : Dhaka,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,,Lot wise,As Per TDS.,,Own Fund,Own fund,,5-3205-3111-PURBACHAL Project Name : Purbachal New town Project,Purbachal New town Project,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,"Construction of Remaining Internal Road and Surface Drain work at Sector # 02 (Part) of Purbachal New Town Project (Package: PNTP/RDC/S-02, Lot-04).",,,,,,,,11,Package wise,Package wise,Payment through Bank,,,,,,,,11-Sep-2024,14-Aug-2024,,,,,,,,,,,,,,,,,,,,,,,0,LOW,NO,No significant issue detected,,,,,RAJUK_Tender_957253.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
957255,Tender_957255.pdf,188860,RAJUK/PD_Purbachal/89 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Purbachal New Town Project,Purbachal New Town Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building , Contact details of Official Inviting Tender/Proposal : Phone No : 02-9554969",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9554969,City : Dhaka,MOHAMMAD MANIRUL HAQUE,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As Per TDS.,,Own Fund,Own fund,NA,5-3205-3111-PURBACHAL Project Name : Purbachal New town Project,Purbachal New town Project,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Construction of Remaining Internal Road & Surface Drain work at Sector-23 (Part) of Purbachal New Town Project,"Construction of Remaining Internal Road & Surface Drain work at Sector-23 (Part) of Purbachal New Town Project (Package No- PNTP/RDC/S-23, Lot- 04).",,,,,,25012452.16,,11,Package wise,Package wise,Payment through Bank,2024-03-20 20:00,,,,,,,11-Sep-2024,14-Aug-2024,2024-05-25 00:00,2024-06-12 00:00,2024-05-01 00:00,2024-10-28 00:00,,,RAJUK/PD_Purbachal/89,,yes,,M/S. Maliha Enterprise,,,,"8, Layal Street, Patuatuli Road, Kotoali, Dhaka.",Purbachal New Project Area,,,,8,8,4,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_957255.pdf | Tender_957255.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
957252,Tender_957252.pdf,188860,RAJUK/PD_Purbachal/88 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Purbachal New Town Project,Purbachal New Town Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building , Contact details of Official Inviting Tender/Proposal : Phone No : 02-9554969",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9554969,City : Dhaka,MOHAMMAD MANIRUL HAQUE,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As Per TDS.,,Own Fund,Own fund,NA,5-3205-3111-PURBACHAL Project Name : Purbachal New town Project,Purbachal New town Project,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Construction of Remaining Internal Road & Surface Drain work at Sector-18 (Part) of Purbachal New Town Project,"Construction of Remaining Internal Road & Surface Drain work at Sector-18 (Part) of Purbachal New Town Project (Package No- PNTP/RDC/S-18, Lot- 03).",,,,,,47768606.61,,17,Package wise,Package wise,Payment through Bank,2024-03-20 20:00,,,,,,,17-Sep-2024,20-Aug-2024,2024-05-25 00:00,2024-06-20 00:00,2024-05-15 00:00,2024-11-11 00:00,,,RAJUK/PD_Purbachal/88,,yes,,HAIDER & CO.,,,,"1/1 KAMALAPUR BAZAR ROAD, DHAKA",Purbachal New Project Area,,,,11,8,4,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_957252.pdf | Tender_957252.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
957254,Tender_957254.pdf,188860,RAJUK/PD_Purbachal/91 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Purbachal New Town Project,Purbachal New Town Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building , Contact details of Official Inviting Tender/Proposal : Phone No : 02-9554969",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9554969,City : Dhaka,MOHAMMAD MANIRUL HAQUE,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As Per TDS.,,Own Fund,Own fund,NA,5-3205-3111-PURBACHAL Project Name : Purbachal New town Project,Purbachal New town Project,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Construction of Remaining Internal Road and Surface Drain at Sector # 20 (Part) of Purbachal New Town Project,"Construction of Remaining Internal Road and Surface Drain at Sector # 20 (Part) of Purbachal New Town Project (Package: PNTP/RDC/S-20, Lot-04).",,,,,,50088046.64,,17,Package wise,Package wise,Payment through Bank,2024-03-20 20:00,,,,,,,17-Sep-2024,20-Aug-2024,2024-05-25 00:00,2024-06-11 00:00,2024-05-15 00:00,2024-09-12 00:00,,,RAJUK/PD_Purbachal/91,,yes,,M/S. Sharif & Sons,,,,"Eastern Arzoo, Suite No: 11/08, 61, Bijoynagar, Dhaka-1000.",Purbachal New Project Area,,,,13,10,4,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_957254.pdf | Tender_957254.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
957256,Tender_957256.pdf,188860,RAJUK/PD_Purbachal/90 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Purbachal New Town Project,Purbachal New Town Project,Procuring Entity District : Dhaka,Dhaka,"RAJUK Annex Building , Contact details of Official Inviting Tender/Proposal : Phone No : 02-9554969",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9554969,City : Dhaka,MOHAMMAD MANIRUL HAQUE,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As Per TDS.,,Own Fund,Own fund,NA,5-3205-3111-PURBACHAL Project Name : Purbachal New town Project,Purbachal New town Project,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least","Painting works of 11 Nos. Bridge (Bridge Nos. 18 , 19, 20, 22, 23, 24, 40, 41, 45, 47, and 48) and repairing works of","Painting works of 11 Nos. Bridge (Bridge Nos. 18 , 19, 20, 22, 23, 24, 40, 41, 45, 47, and 48) and repairing works of damaged approaches to the bridge in different sectors at Purbachal New Town Project (Package No. PNTP/PR/BR-1, Lot-01).",,,,,,44644840.48,,17,Package wise,Package wise,Payment through Bank,2024-03-20 20:00,,,,,,,17-Sep-2024,20-Aug-2024,2024-05-23 00:00,2024-06-13 00:00,2024-05-15 00:00,2024-11-11 00:00,,,RAJUK/PD_Purbachal/90,,yes,,M/S Laila Enterprise,,,,"27 Sheik Mujib Road, Agrabad, Chittagong.",Purbachal New Project Area,,,,10,7,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,RAJUK_Tender_957256.pdf | Tender_957256.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,,,,
957875,Tender_957875.pdf,196083,RAJUK/SE/CC-1/HQ/Hatirjheel/W-07 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Superintending Engineer (Civil Circle-1),Superintending Engineer (Civil Circle-1),Procuring Entity District : Dhaka,Dhaka,"RAJUK Bhaban (4th Floor), Contact details of Official Inviting Tender/Proposal : Phone No : 02-9568383",Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9568383,City : Dhaka,Mohammad Muzaffar Uddin,Superintending Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As per ITT and TDS,,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"The amount of the Tender Security shall be Tk 2,00,000 ( Taka Two Lac) only",Repair (Includes exterior Painting) works of Hatirjheel Apartment Building (Allotted to the Rehabilitated Community).,Repair (Includes exterior Painting) works of Hatirjheel Apartment Building (Allotted to the Rehabilitated Community).,,,,,,7006021.695,,15,Package wise,Package wise,Payment through Bank,2024-03-04 17:15,,,,,,,15-Aug-2024,18-Jul-2024,2024-06-11 00:00,2024-07-08 00:00,2024-06-03 00:00,2024-11-30 00:00,,,RAJUK/SE/CC-1/HQ/Hatirjheel/W-07,,yes,,Nur Traders,,,,"51, Naya Paltan, Paltan, Dhaka-1000",Hatirjheel Area,,,,11,9,5,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_957875.pdf | Tender_957875.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,,,,,,,,,,
948434,Tender_948434.pdf,188629,RAJUK/PD_JHILMIL/School and College Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Development of Residential and,Development of Residential and,Procuring Entity District : Dhaka,Dhaka,Jhilmil Residential Project. Contact details of Official Inviting Tender/Proposal : Phone No : 02-9562878,Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9562878,"Floor, RAJUK.",Md. Aminur Rahman,PD (Jhilmil),Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,As Pewr TDS.,,Own Fund,Own fund,NA,157 Project Name : Development of Residential and,Development of Residential and,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Construction of 6(Six) Storied School and College at Sector No#2 for Development of Residential & Commercial,Construction of 6(Six) Storied School and College at Sector No#2 for Development of Residential & Commercial Infrastructure at Jhilmil Residential Project Area.,,,,,,345195688.9,,14,Package wise,Package wise,Payment through Bank,2024-02-19 20:00,,,,,,,14-Aug-2024,17-Jul-2024,2024-09-29 00:00,2024-10-24 00:00,2024-05-02 00:00,2025-06-26 00:00,,,RAJUK/PD_JHILMIL/School and College,,yes,,Momotaj Engineers Ltd.,,,,"Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.",Jhilmil Residential Project Area,,,,6,5,4,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_948434.pdf | Tender_948434.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,STAT_001,Financial,Extreme Contract Price Outlier,High,Needs Manual Review,Evaluate line-item pricing maps against historical reference curves.,,,,
936176,Tender_936176.pdf,200967,Rajuk/Electrical-1/23/W-03 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Office of the Superintending Engineer,Office of the Superintending Engineer,Procuring Entity District : Dhaka,Dhaka,Rajdhani Unnyan Contact details of Official Inviting Tender/Proposal : Phone No : 02-9552663,Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9552663,"Bhaban (5th Floor) Dilkusha,",MOHAMMAD NAZMUS SAKIB JAMALI,Sup. Eng. (Elec.),Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"This invitation for Tender is Open to Enlisted ( Electrical) Contractor / Supplier of Rajuk or Other Govt./ Semi Govt./ Autonomous Organization/ Reputed Bona Fide Firm as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. (a) The Tenderer having minimum 05 ( Five) years general experience of electro--mechanical works . (b) The Tenderer shall have successfully Completed of 01 (One ) No Internal Networking System/ CCTV System / Access Control System/ Electrical Works of minimum amount Tk. 30.00 (Thirty ) Lac single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. (c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 25.00 (Twenty five) Lac only. (d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2019-2020, 2020-2021 , 2021-2022, 2022-2023, 2023-2024 ) Average Annual Turnover should be required minimum Amount Tk. 30.00 (Thirty ) Lac. (e) Tenderer must have up-to-date ABC Category Contractory & Electrical Supervisory License from Bangladesh Electrical Licensing Board. (f) The Tenderer must have Income Tax clearance Certificate (2022-2023). (g) The Tenderer must have VAT/BIN Registration Certificate. (h) The Tenderer must have valid Trade License (2023-2024)",,Own Fund,Own fund,NA,Xen/Electrical-1/Repair & Maintenance Project Name : Building Repair & Maintenance,Building Repair & Maintenance,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least","Supply & Installation of Internal Network System, CCTV System and Access Control System at Rajuk Zonal Office-5 in","Supply & Installation of Internal Network System, CCTV System and Access Control System at Rajuk Zonal Office-5 in Abdul Monem Tower, Kawran Bazar (Part-1).",,,,,,4160942.1,,6,Package wise,Package wise,Payment through Bank,2024-02-19 17:00,,,,,,,06-Aug-2024,09-Jul-2024,2024-05-15 00:00,2024-06-10 00:00,2024-04-16 00:00,2024-05-31 00:00,,,25.39.0000.063.07.045.2023,,yes,,Optimal Technology (Pvt. ) Ltd.,,,,"186, Shahid Sayed Nazrul Islam Soroni & 40, Bijoy Nagar, Ally's Center,Dhaka-1000.Bangladesh",Rajuk Zonal Office-5,,,,6,3,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,RAJUK_Tender_936176.pdf | Tender_936176.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,01,,2019,25.00 (Twenty five) Lac
936225,Tender_936225.pdf,200967,Rajuk/Electrical-1/23/W-04 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Office of the Superintending Engineer,Office of the Superintending Engineer,Procuring Entity District : Dhaka,Dhaka,Rajdhani Unnyan Contact details of Official Inviting Tender/Proposal : Phone No : 02-9552663,Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9552663,"Bhaban (5th Floor) Dilkusha,",MOHAMMAD NAZMUS SAKIB JAMALI,Sup. Eng. (Elec.),Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"This invitation for Tender is Open to Enlisted ( Electrical) Contractor / Supplier of Rajuk or Other Govt./ Semi Govt./ Autonomous Organization/ Reputed Bona Fide Firm as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. (a) The Tenderer having minimum 05 ( Five) years general experience of electro--mechanical works . (b) The Tenderer shall have successfully Completed of 01 (One ) No PABX System / Audio & VIdeo Confarance System/ Wi-Fi System/ Raised Floor System of Data Center/ Electrical Works of minimum amount Tk. 18.00 (Eighteen) Lac single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. (c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 15.00 (Fifteen) Lac only. (d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2019-2020, 2020-2021 , 2021-2022, 2022-2023, 2023-2024 ) Average Annual Turnover should be required minimum Amount Tk. 20.00 (Twenty) Lac. (e) Tenderer must have up-to-date ABC Category Contractory & Electrical Supervisory License from Bangladesh Electrical Licensing Board. (f) The Tenderer must have Income Tax clearance Certificate (2022-2023). (g) The Tenderer must have VAT/BIN Registration Certificate. (h) The Tenderer must have valid Trade License (2023-2024)",,Own Fund,Own fund,NA,Xen/Electrical-1/Repair & Maintenance Project Name : Building Repair & Maintenance,Building Repair & Maintenance,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least","Supply & Installation of Internal PABX , Audio & VIdeo Confarance System, Wi-Fi System and Raised Floor System at","Supply & Installation of Internal PABX , Audio & VIdeo Confarance System, Wi-Fi System and Raised Floor System at Rajuk Zonal Office-5 in Abdul Monem Tower, Kawran Bazar (Part-2).",,,,,,2520856.8,,6,Package wise,Package wise,Payment through Bank,2024-02-19 17:00,,,,,,,06-Aug-2024,09-Jul-2024,2024-05-15 00:00,2024-06-10 00:00,2024-04-16 00:00,2024-05-31 00:00,,,25.39.0000.063.07.044.2023,,yes,,M/S TANIN ENTERPRISE,,,,"150 MOTIJHEEL, NAHAR MANSION 3RD FLOOR, C/A DHAKA.",Rajuk Zonal Office-5,,,,4,3,2,20,LOW,NO,Beneficial Owner Missing,,,,Medium,RAJUK_Tender_936225.pdf | Tender_936225.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,01,,2019,15.00 (Fifteen) Lac
936227,Tender_936227.pdf,200967,Rajuk/Electrical-1/23/W-05 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Rajdhani Unnayan Kartripakkha (RAJUK) Procuring Entity Name : Office of the Superintending Engineer,Office of the Superintending Engineer,Procuring Entity District : Dhaka,Dhaka,Rajdhani Unnyan Contact details of Official Inviting Tender/Proposal : Phone No : 02-9552663,Dhaka,Dhaka South City,Dhaka,Bangladesh,02-9552663,"Bhaban (5th Floor) Dilkusha,",MOHAMMAD NAZMUS SAKIB JAMALI,Sup. Eng. (Elec.),Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"This invitation for Tender is Open to Enlisted ( Electrical) Contractor of Rajuk or Other Govt./ Semi Govt./ Autonomous Organization/ Reputed Bona Fide Firm as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. (a) The Tenderer having minimum 05 ( Five) years general experience of electro--mechanical works . (b) The Tenderer shall have successfully Completed of 01 (One ) No Electrical Works of minimum amount Tk. 30.00 (Thirty) Lac single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. (c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 30.00 (Thirty) Lac only. (d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2019-2020, 2020-2021 , 2021-2022, 2022-2023, 2023-2024 ) Average Annual Turnover should be required minimum Amount Tk. 35.00 (Thirty five) Lac. (e) Tenderer must have up-to-date ABC Category Contractory & Electrical Supervisory License from Bangladesh Electrical Licensing Board. (f) The Tenderer must have Income Tax clearance Certificate (2022-2023). (g) The Tenderer must have VAT/BIN Registration Certificate. (h) The Tenderer must have valid Trade License (2023-2024)",,Own Fund,Own fund,NA,Xen/Electrical-1/Repair & Maintenance Project Name : Building Repair & Maintenance,Building Repair & Maintenance,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least","Internal Electrification Work at Rajuk Zonal Office-5 in Abdul Monem Tower, Kawran Bazar (Part-3).","Internal Electrification Work at Rajuk Zonal Office-5 in Abdul Monem Tower, Kawran Bazar (Part-3).",,,,,,4960174.5,,6,Package wise,Package wise,Payment through Bank,2024-02-19 17:00,,,,,,,06-Aug-2024,09-Jul-2024,2024-05-15 00:00,2024-06-10 00:00,2024-04-16 00:00,2024-05-31 00:00,,,25.39.0000.063.07.043.2023,,yes,,MULTITRADE INTERNATIONAL,,,,"113/2/1 BCC ROAD, 1ST FLOOR, WARI, DHAKA-1203",Rajuk Zonal Office-5,,,,3,2,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,RAJUK_Tender_936227.pdf | Tender_936227.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,01,,2019,30.00 (Thirty) Lac
